Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Total Shares Traded,Total Value Traded (GH¢)
2025-04-23,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,4477962.0,13433886.0
2025-04-24,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,2146027.0,6437781.0
2025-04-25,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,4004843.0,12013529.0
2025-04-28,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,707750.0,2123250.0
2025-04-29,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,155500.0,467250.0
2025-04-30,MTNGH,3.2,2.5,3.0,3.0,3.1,3.02,0.02,9287.0,28024.0
2025-05-02,MTNGH,3.2,2.5,3.02,3.02,3.12,3.12,0.1,988763.0,3081344.81
2025-05-05,MTNGH,3.2,2.5,3.12,3.12,3.2,3.19,0.07,1001915.0,3197751.24
2025-05-06,MTNGH,3.21,2.5,3.19,3.19,3.24,3.21,0.02,236536.0,758175.77
2025-05-07,MTNGH,3.29,2.5,3.21,3.21,3.3,3.29,0.08,527560.0,1737444.78
2025-05-08,MTNGH,3.3,2.5,3.29,3.29,3.3,3.3,0.01,1723566.0,5692692.8
2025-05-09,MTNGH,3.3,2.5,3.3,3.3,3.3,3.3,0.0,284730.0,939720.11
2025-05-12,MTNGH,3.3,2.5,3.3,3.3,3.3,3.3,0.0,432300.0,1428303.3
2025-05-13,MTNGH,3.32,2.5,3.3,3.3,3.31,3.32,0.02,12134667.0,40232507.52
2025-05-14,MTNGH,3.46,2.5,3.32,3.32,3.55,3.46,0.14,806314.0,2787384.38
2025-05-15,MTNGH,3.53,2.5,3.46,3.46,3.53,3.53,0.07,1321275.0,4665444.7
2025-05-16,MTNGH,3.54,2.5,3.53,3.53,3.54,3.54,0.01,6299736.0,20927220.3
2025-05-19,MTNGH,3.54,2.5,3.54,3.54,3.53,3.53,-0.01,696455.0,2458931.82
2025-05-20,MTNGH,3.54,2.5,3.53,3.53,3.36,3.36,-0.17,103273.0,348255.44
2025-05-21,MTNGH,3.54,2.5,3.36,3.36,3.28,3.28,-0.08,655366.0,2153197.63
2025-05-22,MTNGH,3.54,2.5,3.28,3.28,3.2,3.23,-0.05,348048.0,1123947.42
2025-05-23,MTNGH,3.54,2.5,3.23,3.23,3.2,3.2,-0.03,100660.0,322164.72
2025-05-26,MTNGH,3.54,2.5,3.2,3.2,3.2,3.18,-0.02,271112.0,864402.1
